NOME_SUBTIPO_DE_CURSOS,CODIGO_CURSO,CURSO,EIXO_TECNOLOGICO,MODALIDADE,CARGA_HORARIA_CURSO,SITUACAO_ATIVO,CODIGO_UNIDADE_DE_ENSINO,UNIDADE_DE_ENSINO,UF,CODIGO_MUNICIPIO,MUNICIPIO
Técnico,144,TÉCNICO EM INSTRUMENTO MUSICAL,Produção Cultural e Design,Educação Presencial,1200,t,31205,FIAM-FAAM - CENTRO UNIVERSITÁRIO - UNIFIAM-FAAM - Liberdade - Prédio 7,SP,3550308,São Paulo
Técnico,6,Técnico em Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,29632,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL - CAMPUS REITOR REZENDE RIBEIRO DE REZENDE,DF,5300108,Brasília
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46846,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE MONTES CLAROS/MG,MG,3143302,Montes Claros
Técnico,378709,TÉCNICO EM DEPENDÊNCIA QUÍMICA,Ambiente e Saúde,null,1200,t,25121,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX - CAMPUS: UNIDADE SEDE,MG,3106200,Belo Horizonte
Técnico,77,Técnico em Redes de Computadores,Informação e Comunicação,Educação Presencial,1000,t,46955,FACULDADE DESCOMPLICA  - campus principal,RJ,3304557,Rio de Janeiro
Técnico,65,Técnico em Vendas,Gestão e Negócios,Educação Presencial,800,t,46651,FACULDADE QI BRASIL,RS,4309209,Gravataí
Técnico,50,TÉCNICO EM ADMINISTRAÇÃO,Gestão e Negócios,Educação Presencial,800,t,46750,FACULDADE UNIFICADA DO ESTADO DE SAO PAULO,SP,3529401,Mauá
Técnico,9,Técnico em Farmácia,Ambiente e Saúde,Educação Presencial,1200,t,50124,FACULDADE DO INSTITUTO BRASIL - UNIDADE SEDE,GO,5201108,Anápolis
Técnico,68,Técnico em Eventos,"Turismo, Hospitalidade e Lazer",Educação Presencial,800,t,46818,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,SC,4207502,Indaial
Técnico,51,Técnico em Comércio,Gestão e Negócios,Educação Presencial,800,t,25045,UNIVERSIDADE METODISTA DE SÃO PAULO - CAMPUS: CAMPUS RUDGE RAMOS,SP,3548708,São Bernardo do Campo
